GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0051283	0.010796642774397	12.0652173913043	1.81875	5	6	negative regulation of sequestering of calcium ion
GO:0071346	0.010796642774397	12.0652173913043	1.81875	5	6	cellular response to type II interferon
GO:0097529	0.010796642774397	12.0652173913043	1.81875	5	6	myeloid leukocyte migration
GO:0097553	0.010796642774397	12.0652173913043	1.81875	5	6	calcium ion transmembrane import into cytosol
GO:0006813	0.0110020096076997	7.28571428571429	2.425	6	8	potassium ion transport
GO:0006816	0.0110020096076997	7.28571428571429	2.425	6	8	calcium ion transport
GO:0010927	0.0110020096076997	7.28571428571429	2.425	6	8	cellular component assembly involved in morphogenesis
GO:0051345	0.0110020096076997	7.28571428571429	2.425	6	8	positive regulation of hydrolase activity
GO:0060326	0.0110020096076997	7.28571428571429	2.425	6	8	cell chemotaxis
GO:0070588	0.0110020096076997	7.28571428571429	2.425	6	8	calcium ion transmembrane transport
GO:0071241	0.0110020096076997	7.28571428571429	2.425	6	8	cellular response to inorganic substance
GO:1904062	0.0110020096076997	7.28571428571429	2.425	6	8	regulation of monoatomic cation transmembrane transport
GO:0010035	0.0142361238251075	3.69886363636364	4.546875	9	15	response to inorganic substance
GO:0043410	0.0142361238251075	3.69886363636364	4.546875	9	15	positive regulation of MAPK cascade
GO:0098657	0.0152340446732099	2.72123015873016	7.578125	13	25	import into cell
GO:0000165	0.0155160084649415	3.04134366925065	6.0625	11	20	MAPK cascade
GO:0032989	0.0155160084649415	3.04134366925065	6.0625	11	20	cellular component morphogenesis
GO:0070887	0.0164032073959299	1.96700201207243	18.490625	26	61	cellular response to chemical stimulus
GO:0034097	0.0192406416885683	2.72085561497326	6.971875	12	23	response to cytokine
GO:0071345	0.0194405792838855	3.08908045977011	5.45625	10	18	cellular response to cytokine stimulus
GO:0006082	0.0209615648095452	4.25833333333333	3.334375	7	11	organic acid metabolic process
GO:0006935	0.0209615648095452	4.25833333333333	3.334375	7	11	chemotaxis
GO:0042330	0.0209615648095452	4.25833333333333	3.334375	7	11	taxis
GO:0043436	0.0209615648095452	4.25833333333333	3.334375	7	11	oxoacid metabolic process
GO:0099536	0.0243141763229833	3.15584415584416	4.85	9	16	synaptic signaling
GO:0006650	0.0248807509101486	4.83516483516483	2.728125	6	9	glycerophospholipid metabolic process
GO:0046486	0.0248807509101486	4.83516483516483	2.728125	6	9	glycerolipid metabolic process
GO:0060627	0.0248807509101486	4.83516483516483	2.728125	6	9	regulation of vesicle-mediated transport
GO:0001505	0.0272520257881351	Inf	0.909375	3	3	regulation of neurotransmitter levels
GO:0001508	0.0272520257881351	Inf	0.909375	3	3	action potential
GO:0001959	0.0272520257881351	Inf	0.909375	3	3	regulation of cytokine-mediated signaling pathway
GO:0002028	0.0272520257881351	Inf	0.909375	3	3	regulation of sodium ion transport
GO:0002429	0.0272520257881351	Inf	0.909375	3	3	immune response-activating cell surface receptor signaling pathway
GO:0002685	0.0272520257881351	Inf	0.909375	3	3	regulation of leukocyte migration
GO:0002688	0.0272520257881351	Inf	0.909375	3	3	regulation of leukocyte chemotaxis
GO:0002757	0.0272520257881351	Inf	0.909375	3	3	immune response-activating signaling pathway
GO:0002764	0.0272520257881351	Inf	0.909375	3	3	immune response-regulating signaling pathway
GO:0002768	0.0272520257881351	Inf	0.909375	3	3	immune response-regulating cell surface receptor signaling pathway
GO:0003254	0.0272520257881351	Inf	0.909375	3	3	regulation of membrane depolarization
GO:0003298	0.0272520257881351	Inf	0.909375	3	3	physiological muscle hypertrophy
GO:0003301	0.0272520257881351	Inf	0.909375	3	3	physiological cardiac muscle hypertrophy
GO:0006766	0.0272520257881351	Inf	0.909375	3	3	vitamin metabolic process
GO:0006809	0.0272520257881351	Inf	0.909375	3	3	nitric oxide biosynthetic process
GO:0006836	0.0272520257881351	Inf	0.909375	3	3	neurotransmitter transport
GO:0006937	0.0272520257881351	Inf	0.909375	3	3	regulation of muscle contraction
GO:0008090	0.0272520257881351	Inf	0.909375	3	3	retrograde axonal transport
GO:0010737	0.0272520257881351	Inf	0.909375	3	3	protein kinase A signaling
GO:0010765	0.0272520257881351	Inf	0.909375	3	3	positive regulation of sodium ion transport
GO:0016358	0.0272520257881351	Inf	0.909375	3	3	dendrite development
GO:0031644	0.0272520257881351	Inf	0.909375	3	3	regulation of nervous system process
GO:0042632	0.0272520257881351	Inf	0.909375	3	3	cholesterol homeostasis
GO:0043281	0.0272520257881351	Inf	0.909375	3	3	regulation of cysteine-type endopeptidase activity involved in apoptotic process
GO:0046209	0.0272520257881351	Inf	0.909375	3	3	nitric oxide metabolic process
GO:0046434	0.0272520257881351	Inf	0.909375	3	3	organophosphate catabolic process
GO:0046620	0.0272520257881351	Inf	0.909375	3	3	regulation of organ growth
GO:0048260	0.0272520257881351	Inf	0.909375	3	3	positive regulation of receptor-mediated endocytosis
GO:0048813	0.0272520257881351	Inf	0.909375	3	3	dendrite morphogenesis
GO:0050851	0.0272520257881351	Inf	0.909375	3	3	antigen receptor-mediated signaling pathway
GO:0051153	0.0272520257881351	Inf	0.909375	3	3	regulation of striated muscle cell differentiation
GO:0051592	0.0272520257881351	Inf	0.909375	3	3	response to calcium ion
GO:0051928	0.0272520257881351	Inf	0.909375	3	3	positive regulation of calcium ion transport
GO:0052547	0.0272520257881351	Inf	0.909375	3	3	regulation of peptidase activity
GO:0052548	0.0272520257881351	Inf	0.909375	3	3	regulation of endopeptidase activity
GO:0055017	0.0272520257881351	Inf	0.909375	3	3	cardiac muscle tissue growth
GO:0055021	0.0272520257881351	Inf	0.909375	3	3	regulation of cardiac muscle tissue growth
GO:0055088	0.0272520257881351	Inf	0.909375	3	3	lipid homeostasis
GO:0055092	0.0272520257881351	Inf	0.909375	3	3	sterol homeostasis
GO:0060419	0.0272520257881351	Inf	0.909375	3	3	heart growth
GO:0060420	0.0272520257881351	Inf	0.909375	3	3	regulation of heart growth
GO:0060759	0.0272520257881351	Inf	0.909375	3	3	regulation of response to cytokine stimulus
GO:0060996	0.0272520257881351	Inf	0.909375	3	3	dendritic spine development
GO:0060997	0.0272520257881351	Inf	0.909375	3	3	dendritic spine morphogenesis
GO:0061001	0.0272520257881351	Inf	0.909375	3	3	regulation of dendritic spine morphogenesis
GO:0061049	0.0272520257881351	Inf	0.909375	3	3	cell growth involved in cardiac muscle cell development
GO:0061050	0.0272520257881351	Inf	0.909375	3	3	regulation of cell growth involved in cardiac muscle cell development
GO:0071277	0.0272520257881351	Inf	0.909375	3	3	cellular response to calcium ion
GO:0097006	0.0272520257881351	Inf	0.909375	3	3	regulation of plasma lipoprotein particle levels
GO:0097061	0.0272520257881351	Inf	0.909375	3	3	dendritic spine organization
GO:0098739	0.0272520257881351	Inf	0.909375	3	3	import across plasma membrane
GO:0106027	0.0272520257881351	Inf	0.909375	3	3	neuron projection organization
GO:1901874	0.0272520257881351	Inf	0.909375	3	3	negative regulation of post-translational protein modification
GO:1902305	0.0272520257881351	Inf	0.909375	3	3	regulation of sodium ion transmembrane transport
GO:1902307	0.0272520257881351	Inf	0.909375	3	3	positive regulation of sodium ion transmembrane transport
GO:1903321	0.0272520257881351	Inf	0.909375	3	3	negative regulation of protein modification by small protein conjugation or removal
GO:2000116	0.0272520257881351	Inf	0.909375	3	3	regulation of cysteine-type endopeptidase activity
GO:2001057	0.0272520257881351	Inf	0.909375	3	3	reactive nitrogen species metabolic process
GO:2001259	0.0272520257881351	Inf	0.909375	3	3	positive regulation of cation channel activity
GO:0042592	0.0285270790574382	2.21664275466284	9.7	15	32	homeostatic process
GO:0010256	0.0286521480032054	6.0054347826087	2.121875	5	7	endomembrane system organization
GO:0019932	0.0286521480032054	6.0054347826087	2.121875	5	7	second-messenger-mediated signaling
GO:0021782	0.0286521480032054	6.0054347826087	2.121875	5	7	glial cell development
GO:0031032	0.0286521480032054	6.0054347826087	2.121875	5	7	actomyosin structure organization
GO:0043087	0.0286521480032054	6.0054347826087	2.121875	5	7	regulation of GTPase activity
GO:0090257	0.0286521480032054	6.0054347826087	2.121875	5	7	regulation of muscle system process
GO:0050877	0.0306270926977316	2.7330779054917	5.759375	10	19	nervous system process
GO:0015850	0.0308920859351347	9.54838709677419	1.515625	4	5	organic hydroxy compound transport
GO:0030239	0.0308920859351347	9.54838709677419	1.515625	4	5	myofibril assembly
GO:0032368	0.0308920859351347	9.54838709677419	1.515625	4	5	regulation of lipid transport
GO:0032388	0.0308920859351347	9.54838709677419	1.515625	4	5	positive regulation of intracellular transport
GO:0033157	0.0308920859351347	9.54838709677419	1.515625	4	5	regulation of intracellular protein transport
GO:0034109	0.0308920859351347	9.54838709677419	1.515625	4	5	homotypic cell-cell adhesion
GO:0051924	0.0308920859351347	9.54838709677419	1.515625	4	5	regulation of calcium ion transport
GO:0055002	0.0308920859351347	9.54838709677419	1.515625	4	5	striated muscle cell development
GO:0071805	0.0308920859351347	9.54838709677419	1.515625	4	5	potassium ion transmembrane transport
GO:0099111	0.0308920859351347	9.54838709677419	1.515625	4	5	microtubule-based transport
GO:1905952	0.0308920859351347	9.54838709677419	1.515625	4	5	regulation of lipid localization
GO:0051248	0.0325330011661862	2.31037414965986	8.184375	13	27	negative regulation of protein metabolic process
GO:0097435	0.0325330011661862	2.31037414965986	8.184375	13	27	supramolecular fiber organization
GO:0043085	0.0361999539719806	2.46511627906977	6.66875	11	22	positive regulation of catalytic activity
GO:0051649	0.0364714329079953	1.92923076923077	13.3375	19	44	establishment of localization in cell
GO:0070372	0.0378127966971234	3.39111111111111	3.6375	7	12	regulation of ERK1 and ERK2 cascade
GO:0140352	0.0378127966971234	3.39111111111111	3.6375	7	12	export from cell
GO:0042692	0.0386356193462805	2.74857954545455	5.153125	9	17	muscle cell differentiation
GO:0044255	0.0386356193462805	2.74857954545455	5.153125	9	17	cellular lipid metabolic process
GO:0007010	0.039760581005196	1.81677419354839	16.065625	22	53	cytoskeleton organization
GO:0051239	0.0416620310803953	1.71219512195122	20.6125	27	68	regulation of multicellular organismal process
GO:0006644	0.0469707089317313	3.60989010989011	3.03125	6	10	phospholipid metabolic process
GO:0007015	0.0469707089317313	3.60989010989011	3.03125	6	10	actin filament organization
GO:0010001	0.0469707089317313	3.60989010989011	3.03125	6	10	glial cell differentiation
GO:0019752	0.0469707089317313	3.60989010989011	3.03125	6	10	carboxylic acid metabolic process
GO:0072657	0.0469707089317313	3.60989010989011	3.03125	6	10	protein localization to membrane
GO:0042063	0.048773270025693	2.77367576243981	4.546875	8	15	gliogenesis
GO:0099537	0.048773270025693	2.77367576243981	4.546875	8	15	trans-synaptic signaling
